Id,UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,Radiation
4152,1473879005,9/14/2016 12:00:00 AM,08:50:05,57,30.45,68,26.7,4.5,06:10:00,18:26:00,680.04
13047,1476293121,10/12/2016 12:00:00 AM,07:25:21,50,30.47,96,144.96,10.12,06:16:00,18:02:00,277.37
7420,1477993220,10/31/2016 12:00:00 AM,23:40:20,47,30.48,56,119.52,3.37,06:23:00,17:49:00,1.29
6508,1473013505,9/4/2016 12:00:00 AM,08:25:05,57,30.47,93,38.61,2.25,06:08:00,18:35:00,544.75
29110,1481885434,12/16/2016 12:00:00 AM,00:50:34,41,30.23,103,177.55,2.25,06:50:00,17:46:00,1.22
25348,1483015543,12/29/2016 12:00:00 AM,02:45:43,37,30.35,54,177.0,6.75,06:56:00,17:53:00,1.15
13599,1476124823,10/10/2016 12:00:00 AM,08:40:23,60,30.44,47,4.88,1.12,06:16:00,18:03:00,578.6
20795,1479113702,11/13/2016 12:00:00 AM,22:55:02,45,30.47,83,114.39,6.75,06:30:00,17:44:00,1.2
28143,1482176417,12/19/2016 12:00:00 AM,09:40:17,53,30.53,84,154.09,7.87,06:52:00,17:48:00,269.53
15824,1475442321,10/2/2016 12:00:00 AM,11:05:21,57,30.47,99,40.61,1.12,06:14:00,18:10:00,942.25
6309,1473075905,9/5/2016 12:00:00 AM,01:45:05,46,30.42,89,171.73,5.62,06:08:00,18:35:00,1.92
24388,1478034618,11/1/2016 12:00:00 AM,11:10:18,57,30.49,38,103.58,2.25,06:24:00,17:48:00,662.2
32296,1480703106,12/2/2016 12:00:00 AM,08:25:06,45,30.4,93,188.1,9.0,06:42:00,17:42:00,10.42
7780,1477884917,10/30/2016 12:00:00 AM,17:35:17,48,30.45,102,120.82,7.87,06:23:00,17:49:00,11.58
17739,1480031405,11/24/2016 12:00:00 AM,13:50:05,48,30.45,96,94.3,5.62,06:37:00,17:42:00,502.77
221,1475162424,9/29/2016 12:00:00 AM,05:20:24,45,30.4,56,184.3,5.62,06:13:00,18:13:00,1.22
27988,1482223218,12/19/2016 12:00:00 AM,22:40:18,48,30.55,83,191.86,9.0,06:52:00,17:48:00,1.23
1107,1474885225,9/26/2016 12:00:00 AM,00:20:25,47,30.45,50,123.42,7.87,06:12:00,18:15:00,1.27
12499,1476460821,10/14/2016 12:00:00 AM,06:00:21,51,30.43,26,131.61,4.5,06:17:00,18:00:00,1.23
24582,1483246502,12/31/2016 12:00:00 AM,18:55:02,47,30.32,99,280.47,5.62,06:57:00,17:54:00,1.19
10986,1476920718,10/19/2016 12:00:00 AM,13:45:18,58,30.42,95,66.91,4.5,06:19:00,17:56:00,391.88
28254,1482143119,12/19/2016 12:00:00 AM,00:25:19,49,30.47,80,266.24,3.37,06:52:00,17:48:00,1.27
15766,1475459721,10/2/2016 12:00:00 AM,15:55:21,54,30.4,100,63.11,5.62,06:14:00,18:10:00,164.58
19102,1479621919,11/19/2016 12:00:00 AM,20:05:19,48,30.46,96,108.19,5.62,06:34:00,17:42:00,1.22
19676,1479449718,11/17/2016 12:00:00 AM,20:15:18,51,30.45,21,159.77,9.0,06:32:00,17:43:00,1.24
31384,1480977049,12/5/2016 12:00:00 AM,12:30:49,45,30.35,93,318.72,10.12,06:44:00,17:43:00,142.1
25995,1482821450,12/26/2016 12:00:00 AM,20:50:50,48,30.47,31,138.49,7.87,06:55:00,17:51:00,1.22
380,1475114418,9/28/2016 12:00:00 AM,16:00:18,60,30.37,71,39.37,10.12,06:13:00,18:14:00,521.83
22718,1478536801,11/7/2016 12:00:00 AM,06:40:01,46,30.44,25,202.88,13.5,06:27:00,17:46:00,20.49
13706,1476090621,10/9/2016 12:00:00 AM,23:10:21,50,30.43,84,188.48,9.0,06:16:00,18:04:00,1.26
649,1475031620,9/27/2016 12:00:00 AM,17:00:20,57,30.37,88,2.84,6.75,06:13:00,18:15:00,327.03
14065,1475980219,10/8/2016 12:00:00 AM,16:30:19,57,30.38,97,336.49,2.25,06:15:00,18:05:00,36.33
14747,1475772922,10/6/2016 12:00:00 AM,06:55:22,47,30.46,91,179.52,4.5,06:15:00,18:07:00,91.83
27500,1482369649,12/21/2016 12:00:00 AM,15:20:49,57,30.39,72,35.69,4.5,06:53:00,17:49:00,536.66
20235,1479281701,11/15/2016 12:00:00 AM,21:35:01,48,30.48,36,105.52,4.5,06:31:00,17:43:00,1.18
25557,1482952840,12/28/2016 12:00:00 AM,09:20:40,49,30.43,94,57.27,10.12,06:56:00,17:52:00,293.96
25616,1482935149,12/28/2016 12:00:00 AM,04:25:49,44,30.39,99,141.49,2.25,06:56:00,17:52:00,1.21
1822,1474668326,9/23/2016 12:00:00 AM,12:05:26,62,30.45,85,127.16,15.75,06:12:00,18:18:00,587.78
